0,1,2,3,4,5,6
0.64821875,0.2901278,0.6497719,0.3383876,0.7558991,0.28883502,0.14493035
0.67574257,0.5431582,0.21429345,0.18657859,0.68684286,0.46547273,0.16536535
0.86566114,0.52232194,0.4591176,0.6333542,0.81549346,0.31478626,0.07142491
0.32069978,0.28057474,0.33014077,0.42457464,0.33977404,0.28883883,0.65066594
0.85223156,0.12882452,0.19548014,0.31739137,0.6984576,0.75822455,0.40244922
0.57383955,0.23317803,0.20854269,0.49582657,0.328099,0.76774484,0.47438315
0.6405434,0.316034,0.27515706,0.6246945,0.6730923,0.45936894,0.5809642
0.92427194,0.5638796,0.24643165,0.23097858,0.60389334,0.41576537,0.58525807
0.6239114,0.47759226,0.1848728,0.22226089,0.91240877,0.4054584,0.2713287
0.2162436,0.59966993,0.67007476,0.7785724,0.31313956,0.13077472,0.47686276
0.45248383,0.5363488,0.46932945,0.767526,0.33507475,0.72427136,0.24785128
0.43907753,0.43901995,0.8782753,0.27960256,0.79922813,0.28573036,0.49418783
0.70651597,0.40138257,0.46918708,0.47024935,0.58368105,0.48248324,0.32249758
0.49417007,0.65829796,0.41903442,0.67831177,0.48314974,0.34545237,0.3070419
0.08037308,0.6331329,0.33139715,0.2035278,0.62504095,0.24112312,0.47446626
0.38873905,0.8040955,0.55867916,0.14190808,0.8510598,0.43596435,0.21937516
0.8591622,0.19864538,0.87221646,0.6078908,0.31586522,0.39687848,0.532956
0.4841062,0.5209137,0.3474217,0.43698907,0.5359967,0.5737522,0.4268811
0.62665385,0.56198585,0.47837597,0.70389366,0.55367637,0.5101462,0.28543764
0.4462191,0.61891776,0.627204,0.60543984,0.31372544,0.44959775,0.328564
0.60081327,0.48398829,0.30803263,0.26782158,0.5186192,0.3569197,0.4836613
0.5102089,0.5024055,0.19769754,0.6057798,0.3958972,0.66703904,0.5270602
0.13656904,0.31206793,0.42088258,0.13347045,0.91668355,0.40414655,0.20702764
0.45637074,0.32690862,0.7559255,0.50093895,0.6232294,0.27225024,0.40470004
0.52273595,0.45306054,0.17460415,0.3680661,0.7475814,0.19291505,0.21586768
0.45159614,0.47862834,0.34247956,0.46863785,0.7177558,0.4484092,0.12871307
0.48216215,0.43816754,0.11118015,0.6934346,0.46383247,0.17951939,0.23041104
0.2809591,0.31387928,0.38862467,0.3702728,0.2766698,0.5858784,0.76292694
0.8113375,0.32549518,0.17544231,0.7088115,0.36851484,0.39133102,0.6133834
0.27092516,0.25174,0.07842857,0.30238825,0.6742982,0.76196426,0.5767179
0.6780885,0.23349728,0.34069505,0.3374709,0.6981467,0.50289303,0.23884356
0.881618,0.32639903,0.49645945,0.5942764,0.32684022,0.4164331,0.4053328
0.82389766,0.53502107,0.24816808,0.17536207,0.7003737,0.80087924,0.60457826
0.5912591,0.49618694,0.1531002,0.3416029,0.82248485,0.23660348,0.19100553
0.7254458,0.4839895,0.20408534,0.59199506,0.88015705,0.36342764,0.4544255
0.79577607,0.71738255,0.5282842,0.43233678,0.5573396,0.393047,0.2780784
0.29769027,0.34015447,0.6844901,0.38592786,0.33630413,0.6869993,0.50672513
0.70533293,0.4775544,0.20226279,0.29296225,0.62903243,0.18150821,0.41754124
0.3660027,0.6126514,0.16018078,0.7262112,0.5307805,0.35445914,0.5431536
0.4058497,0.2085009,0.44900712,0.63914025,0.4912767,0.4116465,0.25281325
0.68719566,0.4257907,0.31106573,0.386691,0.39635524,0.19148572,0.37077427
0.72007704,0.19823986,0.39405757,0.26050645,0.5606362,0.47474384,0.45516855
0.7209046,0.46058717,0.28391126,0.7559859,0.84705657,0.41153628,0.13620338
